 1.00000     0.00000
 0.99922     0.00021
 0.99830     0.00046
 0.99724     0.00074
 0.99605     0.00106
 0.99471     0.00142
 0.99323     0.00182
 0.99160     0.00226
 0.98981     0.00274
 0.98783     0.00329
 0.98569     0.00387
 0.98339     0.00451
 0.98091     0.00519
 0.97827     0.00591
 0.97544     0.00667
 0.97242     0.00745
 0.96919     0.00827
 0.96576     0.00910
 0.96215     0.00997
 0.95834     0.01085
 0.95435     0.01176
 0.95013     0.01266
 0.94567     0.01355
 0.94096     0.01442
 0.93602     0.01529
 0.93086     0.01616
 0.92550     0.01703
 0.91991     0.01791
 0.91408     0.01879
 0.90796     0.01968
 0.90155     0.02056
 0.89489     0.02144
 0.88799     0.02234
 0.88086     0.02325
 0.87350     0.02418
 0.86588     0.02513
 0.85796     0.02611
 0.84972     0.02712
 0.84121     0.02816
 0.83246     0.02923
 0.82348     0.03032
 0.81426     0.03145
 0.80480     0.03263
 0.79504     0.03386
 0.78497     0.03516
 0.77464     0.03651
 0.76409     0.03792
 0.75332     0.03939
 0.74235     0.04092
 0.73116     0.04255
 0.71971     0.04432
 0.70800     0.04624
 0.69607     0.04827
 0.68396     0.05037
 0.67167     0.05251
 0.65923     0.05467
 0.64663     0.05682
 0.63385     0.05893
 0.62089     0.06098
 0.60779     0.06297
 0.59456     0.06492
 0.58123     0.06681
 0.56780     0.06862
 0.55430     0.07032
 0.54073     0.07184
 0.52710     0.07313
 0.51341     0.07425
 0.49969     0.07525
 0.48594     0.07616
 0.47218     0.07697
 0.45843     0.07768
 0.44473     0.07825
 0.43111     0.07866
 0.41754     0.07893
 0.40403     0.07912
 0.39058     0.07923
 0.37720     0.07927
 0.36393     0.07924
 0.35081     0.07912
 0.33790     0.07886
 0.32516     0.07851
 0.31256     0.07810
 0.30011     0.07762
 0.28779     0.07710
 0.27567     0.07652
 0.26378     0.07585
 0.25220     0.07509
 0.24090     0.07424
 0.22982     0.07332
 0.21893     0.07234
 0.20825     0.07128
 0.19779     0.07014
 0.18764     0.06886
 0.17786     0.06738
 0.16843     0.06576
 0.15926     0.06404
 0.15032     0.06227
 0.14161     0.06047
 0.13316     0.05866
 0.12502     0.05684
 0.11729     0.05502
